date,city,pm2.5,pm10,no2,so2,co,o3,nh3,aqi
2015-03-21,Bengaluru,48.59,,27.0,1.94,3.89,52.96,28.02,91.0
2015-03-22,Bengaluru,47.38,,22.39,2.05,11.29,71.85,23.19,120.0
2015-03-23,Bengaluru,65.65,,26.35,6.3,9.95,72.84,27.76,154.0
2015-03-24,Bengaluru,60.47,,29.87,6.07,1.46,64.12,35.1,119.0
2015-03-25,Bengaluru,62.56,,23.57,4.98,10.05,82.34,27.13,232.0
2015-03-26,Bengaluru,60.73,,32.07,1.67,1.44,67.21,34.71,132.0
2015-03-27,Bengaluru,42.1,,25.55,2.46,2.85,51.93,30.96,123.0
2015-03-28,Bengaluru,40.0,,17.99,2.5,8.07,44.65,28.74,152.0
2015-03-29,Bengaluru,32.16,,12.9,2.08,8.53,56.31,21.5,143.0
2015-03-30,Bengaluru,30.78,,16.23,2.63,1.46,49.52,26.96,80.0
2015-03-31,Bengaluru,38.99,,10.97,2.79,1.79,47.67,27.52,90.0
2015-04-01,Bengaluru,36.42,,8.83,3.17,9.6,48.25,31.37,151.0
2015-04-02,Bengaluru,38.15,,10.29,7.65,4.06,53.26,43.09,123.0
2015-04-03,Bengaluru,35.11,,5.99,2.32,5.34,57.75,26.04,178.0
2015-04-04,Bengaluru,36.68,,12.89,3.29,1.47,76.36,40.71,101.0
2015-04-05,Bengaluru,36.92,,9.0,4.07,9.58,65.62,26.22,160.0
2015-04-06,Bengaluru,31.78,,8.14,7.22,0.55,54.31,22.34,71.0
2015-04-07,Bengaluru,37.25,,7.14,5.88,2.3,60.42,17.78,76.0
2015-04-08,Bengaluru,29.8,,9.04,1.84,6.84,49.55,24.2,153.0
2015-04-09,Bengaluru,25.06,,8.72,2.6,5.82,42.63,29.83,80.0
2015-04-10,Bengaluru,24.4,,7.46,2.03,5.19,44.47,23.17,129.0
2015-04-11,Bengaluru,32.08,,7.09,3.22,1.7,53.91,30.95,107.0
2015-04-12,Bengaluru,19.72,,4.97,5.16,2.65,44.53,34.85,122.0
2015-04-13,Bengaluru,17.03,,8.53,2.75,2.23,39.03,34.3,85.0
2015-04-14,Bengaluru,19.73,,6.1,4.66,1.4,57.7,27.48,62.0
2015-04-15,Bengaluru,22.52,,4.86,4.9,5.45,77.05,15.15,177.0
2015-04-16,Bengaluru,21.36,,7.98,29.11,0.97,96.88,16.61,152.0
2015-04-17,Bengaluru,24.35,,6.64,2.58,12.93,97.2,38.54,210.0
2015-04-18,Bengaluru,18.33,,5.98,3.99,3.84,101.63,21.02,170.0
2015-04-19,Bengaluru,17.66,,6.58,2.49,0.48,81.34,21.93,135.0
2015-04-20,Bengaluru,27.46,,7.91,5.53,4.58,37.22,24.78,118.0
2015-04-21,Bengaluru,27.94,,6.45,4.43,6.14,34.74,17.34,127.0
2015-04-22,Bengaluru,23.81,,6.21,26.42,,32.79,5.42,47.0
2015-04-23,Bengaluru,23.11,,6.84,12.35,3.65,15.88,18.77,44.0
2015-04-24,Bengaluru,15.12,,14.96,5.12,1.13,109.66,35.77,67.0
2015-04-25,Bengaluru,19.59,,8.42,26.92,3.1,157.2,17.93,44.0
2015-04-26,Bengaluru,69.85,,14.35,15.91,1.22,123.32,15.8,82.0
2015-04-27,Bengaluru,24.62,,7.74,18.89,1.26,65.38,13.92,156.0
2015-04-28,Bengaluru,32.92,,12.95,14.79,2.31,57.59,11.62,96.0
2015-04-29,Bengaluru,44.53,,17.71,8.34,1.34,27.11,11.4,72.0
2015-04-30,Bengaluru,26.68,,16.69,11.54,,51.81,10.15,117.0
2015-05-01,Bengaluru,39.06,,14.31,4.96,1.59,26.93,6.09,67.0
2015-05-02,Bengaluru,50.83,,14.24,2.99,4.44,16.83,21.03,217.0
2015-05-03,Bengaluru,62.58,,15.2,7.47,1.32,17.81,14.62,64.0
2015-05-04,Bengaluru,45.26,,25.81,6.79,4.17,21.39,18.09,162.0
2015-05-05,Bengaluru,40.37,,20.7,8.6,0.0,36.56,5.94,75.0
2015-05-06,Bengaluru,43.21,,17.15,11.77,28.28,80.02,10.23,141.0
2015-05-07,Bengaluru,41.53,,20.41,4.67,0.5,31.73,15.4,70.0
2015-05-08,Bengaluru,27.85,,17.29,7.18,4.82,88.24,14.93,142.0
2015-05-09,Bengaluru,36.83,,24.35,6.64,23.56,39.61,17.12,140.0
2015-05-10,Bengaluru,40.81,,29.77,3.46,2.57,32.11,14.21,71.0
2015-05-11,Bengaluru,36.11,,29.38,11.84,0.3,14.0,15.84,66.0
2015-05-12,Bengaluru,28.76,,29.1,2.96,,15.17,15.13,56.0
2015-05-13,Bengaluru,40.74,,32.27,2.77,0.0,7.96,14.66,45.0
2015-05-14,Bengaluru,23.77,,33.12,2.83,1.19,12.14,14.28,61.0
2015-05-15,Bengaluru,17.34,,22.13,3.08,2.06,12.14,18.55,70.0
2015-05-16,Bengaluru,30.45,,32.24,3.9,1.19,8.48,24.08,59.0
2015-05-17,Bengaluru,15.8,,22.62,5.8,12.23,21.44,14.2,125.0
2015-05-18,Bengaluru,20.12,,22.49,5.83,12.77,32.76,13.27,106.0
2015-05-19,Bengaluru,25.27,,31.22,3.92,1.14,37.13,17.26,84.0
